Date,Open,High,Low,Close,Adj Close,Volume
27/10/2000,93,93.6875,91,93.6875,59.689827,6431400
30/10/2000,93.5,93.75,90.3125,93.3125,59.450939,8084000
31/10/2000,93.75,99.125,93.75,98.5,62.755966,10902600
01/11/2000,98.4375,99.875,97.25,98.5625,62.795776,7466200
02/11/2000,99,102.3125,98.5,101.9375,64.946083,7445100
03/11/2000,102.5,102.625,99.375,100.125,63.791306,5848500
06/11/2000,99.875,102.375,99.4375,100.3125,63.910774,4448500
07/11/2000,101.125,103.5,100.6875,102.3125,65.185028,5420600
08/11/2000,103.625,103.75,99.25,100,63.792744,6990800
09/11/2000,96.75,100,95.6875,99.4375,63.433865,9047900
10/11/2000,98,98.375,93,93,59.327213,6807900
13/11/2000,91.8125,99.4375,91.625,97.4375,62.15802,8684900
14/11/2000,99.25,99.875,98.5,99.5,63.473755,5150900
15/11/2000,99.5,100.0625,97.625,99.375,63.394009,4160300
16/11/2000,99.25,99.6875,98.25,98.25,62.676331,3739700
17/11/2000,98.3125,102.5,98.25,101.9375,65.028702,7717400
20/11/2000,101.5,103.25,100.875,103.25,65.865974,7426600
21/11/2000,103.25,104.375,98.5,98.5,62.835804,7180700
22/11/2000,98.5,100.8125,98.3125,98.5,62.835804,5537100
24/11/2000,99.375,101.75,99.25,99.9375,63.752823,2497500
27/11/2000,100.4375,102,98.4375,98.4375,62.79594,3866200
28/11/2000,98.75,100.75,97.375,97.875,62.437134,4799100
29/11/2000,97.75,99.9375,96.6875,99.8125,63.673096,5524600
30/11/2000,98,98,92.25,93.5,59.646152,10651400
01/12/2000,94.4375,99.3125,94.375,95.625,61.001812,7525100
04/12/2000,96,99.1875,95.75,98.375,62.756065,5566800
05/12/2000,100.4375,104.75,99.625,103.375,65.945702,7804200
06/12/2000,101.75,101.8125,94.8125,96.75,61.719463,10096900
07/12/2000,95.0625,95.9375,93.125,93.125,59.406971,7922000
08/12/2000,98,99,95.75,97,61.878941,6140600
11/12/2000,96.5,98.25,93.75,95,60.603073,6185600
12/12/2000,95.25,96.125,92.5,93.875,59.88541,7913300
13/12/2000,94.875,96.625,90.6875,91.25,58.210838,6992600
14/12/2000,92,93.6875,91.8125,92.4375,58.968395,6131400
15/12/2000,90,90.6875,87.3125,87.8125,56.017982,14254500
18/12/2000,88.375,90.5,88.375,90.5,57.732418,7693800
19/12/2000,90.1875,94.4375,89.8125,90.125,57.493195,7705300
20/12/2000,85.875,88,84.8125,86,54.861759,12579400
21/12/2000,85.5,87.9375,80.0625,81.5625,52.030918,12725500
22/12/2000,84.5,89.375,84.5,89,56.775505,9514000
26/12/2000,89,89.5625,84.25,84.8125,54.104191,6052300
27/12/2000,84.75,88.125,83.5625,84.6875,54.024437,8245100
28/12/2000,83.5,88.1875,82.125,85.25,54.383293,9798600
29/12/2000,86.9375,86.9375,84.25,85,54.223801,6943700
02/01/2001,84.5,87.5,84.125,84.8125,54.104191,8007200
03/01/2001,83.75,95,83.75,94.625,60.363861,12769900
04/01/2001,94.75,99.75,92.6875,93.1875,59.446819,15420500
05/01/2001,93.9375,94.6875,91,94,59.965141,8043200
